id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
148046,32,management,single,tertiary,no,2637,yes,no,cellular,22,jul,124,8,-1,0,unknown,0
655453,39,admin.,married,secondary,no,439,yes,no,cellular,20,apr,239,2,-1,0,unknown,0
506941,41,management,married,tertiary,no,-456,no,no,cellular,9,apr,190,1,142,4,failure,0
564103,40,blue-collar,married,primary,no,1655,yes,no,unknown,14,may,124,1,-1,0,unknown,0
347853,31,management,divorced,tertiary,no,1165,no,no,cellular,8,aug,707,3,-1,0,unknown,1
221763,36,blue-collar,married,secondary,no,28,no,no,unknown,17,jun,726,2,-1,0,unknown,0
149091,31,technician,married,secondary,no,12,no,no,cellular,8,jul,89,1,-1,0,unknown,0
667768,34,blue-collar,married,secondary,no,7263,yes,no,cellular,3,feb,15,6,-1,0,unknown,0
455514,49,services,divorced,secondary,no,24,yes,no,cellular,4,feb,617,3,-1,0,unknown,0
338315,46,blue-collar,married,secondary,no,605,yes,no,cellular,29,jul,82,3,-1,0,unknown,0
261208,34,management,married,tertiary,no,-292,yes,no,cellular,21,aug,111,8,-1,0,unknown,0
502943,38,management,single,tertiary,no,-14,no,no,cellular,2,feb,110,1,-1,0,unknown,0
489328,59,management,married,tertiary,no,3831,yes,no,cellular,20,nov,75,4,-1,0,unknown,0
217564,27,blue-collar,single,secondary,no,985,yes,no,unknown,29,may,67,2,-1,0,unknown,0
201966,31,management,married,tertiary,no,-547,yes,no,cellular,12,aug,49,4,-1,0,unknown,0
267788,35,services,married,primary,no,-315,yes,no,cellular,15,may,104,2,368,2,failure,0
342135,29,management,single,tertiary,no,719,no,no,cellular,18,feb,124,2,-1,0,unknown,0
426881,59,blue-collar,married,tertiary,no,495,no,no,cellular,8,aug,651,5,-1,0,unknown,1
730387,45,blue-collar,married,primary,no,759,no,no,cellular,18,aug,108,8,-1,0,unknown,0
392385,60,blue-collar,married,secondary,no,473,no,no,cellular,10,jul,81,1,-1,0,unknown,0
172226,35,management,married,tertiary,no,1343,no,no,unknown,19,may,112,2,-1,0,unknown,0
650420,53,housemaid,married,tertiary,no,3233,no,no,unknown,27,may,29,4,-1,0,unknown,0
638729,39,management,married,tertiary,no,1044,yes,no,unknown,16,may,1663,2,-1,0,unknown,1
359446,37,management,single,tertiary,no,0,no,no,cellular,19,aug,129,5,-1,0,unknown,0
50948,26,blue-collar,married,secondary,no,681,yes,no,cellular,12,may,604,4,-1,0,unknown,0
619392,27,blue-collar,single,secondary,no,-20,yes,no,unknown,7,may,172,1,-1,0,unknown,0
378042,54,admin.,married,secondary,no,3443,no,no,telephone,19,aug,139,6,-1,0,unknown,0
502830,43,blue-collar,single,secondary,no,511,yes,no,unknown,15,may,157,1,-1,0,unknown,0
268309,39,management,single,tertiary,no,437,yes,no,cellular,14,may,7,7,-1,0,unknown,0
515287,33,technician,single,secondary,no,882,no,no,cellular,5,feb,744,1,-1,0,unknown,1
555976,41,technician,married,secondary,no,644,yes,no,unknown,14,may,1121,2,-1,0,unknown,0
155943,48,blue-collar,married,primary,no,597,yes,no,unknown,8,may,128,2,-1,0,unknown,0
696904,30,technician,single,secondary,no,2683,yes,no,cellular,6,aug,99,3,-1,0,unknown,0
99061,50,unemployed,married,secondary,no,4,no,no,cellular,4,aug,71,1,-1,0,unknown,0
464043,43,management,married,tertiary,no,1218,yes,no,cellular,29,jul,71,3,-1,0,unknown,0
59531,29,technician,married,secondary,no,1842,yes,no,cellular,11,may,121,2,-1,0,unknown,0
62622,39,technician,married,secondary,no,1430,yes,yes,cellular,15,may,16,5,-1,0,unknown,0
273338,48,technician,divorced,secondary,no,-4,no,no,cellular,28,aug,111,4,-1,0,unknown,0
697662,31,unemployed,single,tertiary,no,1801,no,no,cellular,23,feb,296,1,-1,0,unknown,1
587445,43,unemployed,married,secondary,no,744,no,no,cellular,19,nov,604,1,-1,0,unknown,1
20362,45,management,single,tertiary,no,2178,no,no,cellular,25,aug,121,4,-1,0,unknown,0
72453,39,admin.,married,secondary,no,614,yes,yes,cellular,7,may,87,2,171,2,failure,0
509775,33,management,single,tertiary,no,5561,no,no,cellular,5,feb,814,1,-1,0,unknown,1
344930,34,blue-collar,married,primary,no,3382,yes,no,cellular,14,may,306,2,-1,0,unknown,0
566625,50,blue-collar,divorced,primary,no,1410,yes,no,unknown,9,may,85,1,-1,0,unknown,0
381472,49,technician,single,secondary,no,4336,no,no,cellular,31,jul,829,4,-1,0,unknown,1
438395,56,blue-collar,married,primary,no,984,yes,yes,telephone,17,nov,100,2,-1,0,unknown,0
224374,46,blue-collar,married,primary,no,-388,yes,no,cellular,18,jul,411,2,-1,0,unknown,0
456870,51,technician,married,secondary,no,-9,yes,no,cellular,18,nov,113,1,-1,0,unknown,0
710309,49,admin.,married,secondary,no,844,yes,no,unknown,5,may,151,1,-1,0,unknown,0
361231,54,management,married,tertiary,no,1164,yes,no,cellular,17,nov,890,1,-1,0,unknown,0
445480,38,technician,married,secondary,no,11,no,no,unknown,9,jun,65,1,-1,0,unknown,0
364638,33,management,married,secondary,no,1170,yes,no,unknown,14,may,125,3,-1,0,unknown,0
86874,37,management,married,tertiary,no,0,no,no,cellular,18,nov,110,1,-1,0,unknown,0
323293,49,management,married,tertiary,no,40,no,no,cellular,11,aug,71,4,-1,0,unknown,0
527112,41,admin.,married,secondary,no,2955,no,no,cellular,30,apr,323,1,-1,0,unknown,1
137901,46,management,married,secondary,no,0,no,no,unknown,19,jun,83,2,-1,0,unknown,0
48497,57,services,married,primary,no,46,no,no,cellular,28,aug,82,4,-1,0,unknown,0
302645,47,technician,married,tertiary,no,-813,yes,yes,unknown,27,may,169,4,-1,0,unknown,0
214995,43,technician,single,secondary,no,664,no,no,cellular,25,aug,88,3,-1,0,unknown,0
194822,50,management,married,tertiary,no,0,yes,no,cellular,16,jul,199,1,-1,0,unknown,0
357062,25,blue-collar,single,secondary,no,454,no,no,cellular,8,jul,201,2,-1,0,unknown,0
503625,43,management,married,secondary,no,1651,no,no,cellular,7,aug,105,2,-1,0,unknown,0
104116,29,admin.,single,secondary,no,877,no,no,cellular,26,may,95,1,-1,0,unknown,0
2598,31,management,married,tertiary,no,2667,no,no,cellular,7,may,151,1,286,5,failure,0
346901,56,services,divorced,secondary,no,0,no,yes,cellular,18,jul,675,4,-1,0,unknown,0
231478,35,technician,single,secondary,no,509,yes,yes,cellular,11,may,9,6,-1,0,unknown,0
546310,32,services,single,secondary,no,1629,no,no,cellular,19,nov,95,1,-1,0,unknown,0
173020,32,services,single,secondary,no,-45,yes,no,cellular,23,jul,90,1,-1,0,unknown,0
222487,57,management,married,primary,no,-68,yes,yes,telephone,23,jul,67,14,-1,0,unknown,0
621847,34,services,married,secondary,no,2639,yes,no,telephone,15,apr,1360,4,331,12,failure,1
203586,33,services,married,secondary,no,0,yes,no,unknown,20,may,139,1,-1,0,unknown,0
360434,36,technician,married,secondary,no,2613,no,no,cellular,4,aug,629,2,-1,0,unknown,1
210585,35,blue-collar,married,secondary,no,856,yes,no,unknown,3,jun,196,1,-1,0,unknown,0
369557,30,technician,single,tertiary,no,464,no,no,cellular,10,mar,116,1,-1,0,unknown,0
545248,27,services,single,secondary,no,362,yes,no,cellular,18,feb,116,1,-1,0,unknown,0
237781,31,technician,married,secondary,no,697,no,no,cellular,14,aug,86,2,-1,0,unknown,0
715175,44,unknown,single,unknown,no,699,no,no,cellular,28,jan,657,1,-1,0,unknown,1
166204,53,blue-collar,married,primary,no,3115,yes,no,unknown,20,jun,11,19,-1,0,unknown,0
198068,40,self-employed,married,tertiary,no,3271,no,no,cellular,6,mar,431,2,-1,0,unknown,1
201842,64,self-employed,married,tertiary,no,1708,no,no,cellular,17,jun,212,2,182,2,success,1
436717,39,management,married,tertiary,no,442,yes,no,unknown,15,may,151,1,-1,0,unknown,0
686741,40,services,married,secondary,no,484,no,yes,cellular,11,nov,471,1,95,1,other,1
427357,35,management,single,tertiary,no,1433,yes,no,cellular,15,may,97,1,-1,0,unknown,0
512410,30,technician,single,secondary,no,5,no,yes,cellular,21,aug,96,2,-1,0,unknown,0
444177,43,blue-collar,married,primary,no,-91,yes,no,unknown,13,may,39,3,-1,0,unknown,0
653431,35,technician,married,secondary,no,24,yes,no,cellular,6,aug,113,4,-1,0,unknown,0
189344,43,technician,married,secondary,no,2074,no,no,cellular,18,aug,535,5,-1,0,unknown,0
251067,22,student,single,tertiary,no,489,no,no,cellular,16,apr,156,2,-1,0,unknown,0
404121,54,technician,married,tertiary,no,976,no,no,cellular,5,aug,634,2,-1,0,unknown,1
362169,41,blue-collar,married,primary,no,-191,yes,no,cellular,17,jul,50,1,-1,0,unknown,0
642998,34,technician,single,secondary,no,1705,no,no,cellular,12,aug,92,2,-1,0,unknown,0
660176,52,technician,married,secondary,no,976,yes,no,cellular,25,mar,101,1,421,3,success,1
156950,36,admin.,single,secondary,no,2,no,yes,cellular,31,jul,68,2,-1,0,unknown,0
349915,35,technician,married,secondary,no,483,no,no,cellular,25,aug,775,9,-1,0,unknown,1
84536,48,technician,divorced,secondary,no,1145,yes,no,cellular,6,feb,112,1,-1,0,unknown,0
102615,36,services,married,secondary,no,518,yes,no,unknown,26,may,67,2,-1,0,unknown,0
43425,37,blue-collar,single,secondary,no,783,yes,no,cellular,13,may,166,1,362,1,failure,0
450814,35,admin.,single,secondary,no,118,yes,yes,telephone,23,jul,821,6,-1,0,unknown,0
472531,30,management,married,tertiary,no,1326,no,no,cellular,5,feb,71,2,-1,0,unknown,0
626633,37,management,single,unknown,no,0,no,no,cellular,6,aug,108,1,-1,0,unknown,0
10901,59,retired,married,secondary,no,5706,yes,no,unknown,28,may,471,1,-1,0,unknown,0
308229,54,management,married,secondary,no,2549,yes,no,cellular,30,jan,113,4,197,2,failure,0
738041,48,services,married,secondary,no,691,yes,yes,cellular,7,may,158,1,352,1,failure,0
232491,46,technician,married,secondary,no,-547,yes,no,cellular,23,jul,97,1,-1,0,unknown,0
589851,45,admin.,single,secondary,no,-5,yes,yes,unknown,9,jun,124,4,-1,0,unknown,0
46234,48,blue-collar,married,secondary,no,1477,no,no,cellular,31,jul,149,2,-1,0,unknown,0
475791,36,services,divorced,secondary,no,947,yes,no,cellular,18,nov,66,1,-1,0,unknown,0
457127,38,blue-collar,married,primary,no,3576,yes,yes,unknown,27,may,146,6,-1,0,unknown,0
382056,42,housemaid,married,secondary,no,1114,yes,no,cellular,9,jul,212,2,-1,0,unknown,0
690148,53,blue-collar,divorced,primary,no,1101,no,no,unknown,20,jun,139,1,-1,0,unknown,0
608039,46,technician,married,secondary,no,849,yes,no,cellular,17,aug,526,1,-1,0,unknown,1
712147,37,admin.,married,secondary,no,953,no,no,cellular,2,apr,618,1,136,4,failure,0
361452,53,admin.,married,secondary,no,4136,yes,no,cellular,7,may,437,1,363,2,failure,0
368425,38,blue-collar,married,secondary,no,14,yes,no,unknown,6,may,246,2,-1,0,unknown,0
169115,50,management,married,tertiary,no,0,yes,no,cellular,17,nov,46,1,181,1,failure,0
734079,57,retired,married,secondary,no,759,yes,no,unknown,15,may,70,1,-1,0,unknown,0
383906,45,technician,married,secondary,no,656,yes,no,cellular,6,aug,130,2,-1,0,unknown,0
674633,59,blue-collar,married,secondary,no,5,no,no,cellular,22,aug,105,2,-1,0,unknown,0
221718,35,blue-collar,single,unknown,no,12,yes,no,unknown,7,may,147,1,-1,0,unknown,0
563900,51,self-employed,married,secondary,no,2,no,no,unknown,5,may,100,1,-1,0,unknown,0
116905,32,technician,single,tertiary,no,545,yes,no,cellular,17,apr,111,1,-1,0,unknown,0
489916,33,technician,single,secondary,no,2877,yes,no,cellular,5,aug,148,1,-1,0,unknown,0
712732,35,services,married,secondary,no,1629,yes,no,telephone,20,apr,52,3,-1,0,unknown,0
132974,33,blue-collar,married,secondary,no,12,yes,no,unknown,19,may,136,5,-1,0,unknown,0
133283,55,services,married,secondary,no,459,no,no,unknown,11,jun,563,1,-1,0,unknown,0
316666,40,services,married,secondary,no,-817,yes,no,unknown,30,may,125,7,-1,0,unknown,0
438145,53,admin.,married,secondary,no,-732,yes,yes,unknown,8,may,123,1,-1,0,unknown,0
494510,24,student,single,tertiary,no,0,yes,no,unknown,5,jun,124,2,-1,0,unknown,0
152936,52,unemployed,married,secondary,no,1023,no,no,cellular,31,jul,168,3,-1,0,unknown,0
350136,36,services,divorced,tertiary,no,2957,yes,yes,cellular,18,nov,166,2,-1,0,unknown,0
1580,29,management,single,secondary,no,715,yes,no,cellular,5,jun,90,4,-1,0,unknown,0
598757,31,blue-collar,single,primary,no,528,yes,no,unknown,21,may,100,1,-1,0,unknown,0
689042,44,management,married,tertiary,yes,-1083,yes,no,unknown,15,may,122,2,-1,0,unknown,0
527705,39,blue-collar,married,secondary,no,8,yes,no,cellular,18,may,15,5,-1,0,unknown,0
673421,31,blue-collar,married,secondary,no,-723,yes,no,unknown,23,may,228,2,-1,0,unknown,0
374627,43,blue-collar,married,secondary,no,976,yes,no,cellular,20,apr,10,4,-1,0,unknown,0
499565,45,blue-collar,married,secondary,no,1533,yes,no,cellular,7,aug,87,2,-1,0,unknown,0
152961,45,technician,divorced,secondary,no,1498,yes,no,cellular,20,aug,82,2,-1,0,unknown,0
170694,57,management,divorced,secondary,no,2452,no,no,unknown,17,nov,651,1,-1,0,unknown,0
284492,48,management,married,tertiary,no,675,no,no,cellular,29,aug,140,2,-1,0,unknown,0
258794,33,management,married,secondary,no,1228,no,no,cellular,28,jan,639,1,100,2,success,1
537877,44,technician,married,secondary,no,759,no,no,cellular,12,aug,121,2,-1,0,unknown,0
627234,33,management,married,tertiary,no,2781,no,no,cellular,7,aug,101,2,-1,0,unknown,0
413468,48,entrepreneur,divorced,tertiary,no,0,no,no,cellular,14,jul,89,3,-1,0,unknown,0
221094,51,admin.,divorced,secondary,no,-17,yes,no,cellular,28,jul,124,4,-1,0,unknown,0
470710,43,entrepreneur,married,tertiary,no,119,yes,no,cellular,10,jul,515,1,-1,0,unknown,0
668261,36,blue-collar,married,secondary,no,1697,yes,no,unknown,26,may,285,1,-1,0,unknown,0
28038,26,services,married,primary,no,-230,yes,yes,cellular,23,jul,48,3,-1,0,unknown,0
352249,26,management,single,tertiary,no,2087,no,no,unknown,23,jul,141,1,-1,0,unknown,0
713640,27,management,single,tertiary,no,641,yes,no,cellular,13,may,212,1,-1,0,unknown,0
128272,30,technician,single,secondary,no,538,no,no,cellular,13,nov,148,1,197,2,success,1
686311,44,management,married,tertiary,no,-872,yes,no,cellular,20,apr,126,4,-1,0,unknown,0
211757,35,admin.,married,secondary,no,787,yes,no,cellular,13,may,125,2,-1,0,unknown,0
338616,56,retired,married,secondary,no,828,no,yes,unknown,19,jun,449,2,-1,0,unknown,0
539966,35,services,married,secondary,no,948,yes,no,unknown,6,may,97,2,-1,0,unknown,0
477929,50,services,married,secondary,no,-11,yes,yes,cellular,31,jul,8,6,-1,0,unknown,0
3061,42,management,married,tertiary,no,541,no,yes,unknown,19,jun,515,3,-1,0,unknown,0
584942,25,management,single,secondary,no,2562,no,no,cellular,24,apr,113,2,-1,0,unknown,0
363818,59,management,married,tertiary,no,0,yes,no,cellular,29,jul,111,3,-1,0,unknown,0
119114,23,technician,single,secondary,no,0,yes,no,unknown,6,may,92,2,-1,0,unknown,0
456166,33,admin.,single,tertiary,no,553,yes,no,unknown,21,may,123,1,-1,0,unknown,0
118596,59,unknown,married,unknown,no,1804,no,no,telephone,29,jul,41,2,-1,0,unknown,0
642062,38,entrepreneur,married,tertiary,no,557,yes,no,cellular,23,jul,111,2,-1,0,unknown,0
709289,40,blue-collar,married,primary,no,634,yes,no,unknown,19,may,168,2,-1,0,unknown,0
