age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
47,unknown,single,unknown,no,0,no,no,unknown,16,jun,132,4,-1,0,unknown,0
38,blue-collar,married,secondary,no,-839,yes,no,unknown,6,jun,188,2,-1,0,unknown,0
36,services,divorced,secondary,no,101,yes,no,cellular,11,may,566,1,347,2,failure,0
40,blue-collar,married,secondary,no,1270,yes,no,unknown,12,may,114,3,-1,0,unknown,0
60,admin.,married,secondary,no,0,no,no,telephone,15,jul,135,2,-1,0,unknown,0
27,technician,single,secondary,no,854,yes,no,unknown,19,may,938,4,-1,0,unknown,1
60,retired,married,primary,no,5,no,no,cellular,13,aug,104,2,-1,0,unknown,0
30,technician,married,secondary,no,-813,yes,yes,cellular,18,feb,166,1,185,4,other,0
52,blue-collar,married,primary,no,1178,no,no,cellular,18,nov,220,1,-1,0,unknown,0
53,blue-collar,married,secondary,no,-762,yes,yes,unknown,28,may,204,2,-1,0,unknown,0
48,blue-collar,married,secondary,no,5,yes,yes,unknown,29,may,179,5,-1,0,unknown,0
27,admin.,single,secondary,yes,8,no,no,cellular,8,jul,46,2,-1,0,unknown,0
40,admin.,single,secondary,no,3053,no,no,unknown,19,jun,449,1,-1,0,unknown,0
49,self-employed,married,secondary,no,0,no,no,unknown,16,jun,112,3,-1,0,unknown,0
30,unemployed,single,tertiary,no,705,no,no,cellular,30,jan,88,3,-1,0,unknown,0
51,management,married,secondary,no,2155,yes,yes,cellular,17,nov,58,1,-1,0,unknown,0
40,services,divorced,secondary,no,-178,yes,no,unknown,7,may,151,2,-1,0,unknown,0
52,management,married,tertiary,no,2120,no,no,cellular,21,aug,870,4,-1,0,unknown,0
60,retired,married,primary,no,574,no,no,cellular,6,aug,89,2,-1,0,unknown,0
36,management,single,tertiary,no,1324,no,no,cellular,7,aug,85,5,-1,0,unknown,0
38,admin.,single,secondary,no,626,yes,no,unknown,9,may,7,11,-1,0,unknown,0
35,technician,married,secondary,no,887,no,no,cellular,8,aug,93,2,-1,0,unknown,0
43,management,single,tertiary,no,1035,yes,no,cellular,21,nov,6,7,-1,0,unknown,0
46,admin.,married,secondary,no,0,no,no,cellular,19,aug,76,2,-1,0,unknown,0
29,management,single,secondary,no,16,no,no,cellular,25,feb,105,2,192,4,other,0
32,admin.,married,tertiary,no,-1053,yes,no,cellular,21,jul,357,3,-1,0,unknown,0
31,management,single,tertiary,no,1172,no,no,cellular,20,aug,81,3,-1,0,unknown,0
30,technician,married,secondary,no,717,no,no,cellular,29,aug,77,2,-1,0,unknown,0
33,management,married,tertiary,no,-370,yes,no,unknown,28,may,98,1,-1,0,unknown,0
49,blue-collar,married,primary,no,1,yes,no,cellular,8,may,169,1,361,2,other,0
32,blue-collar,single,primary,no,2869,yes,no,cellular,20,nov,173,1,-1,0,unknown,0
31,blue-collar,single,secondary,no,1012,yes,no,cellular,14,may,80,4,-1,0,unknown,0
35,technician,married,secondary,no,862,no,no,cellular,17,jul,122,1,-1,0,unknown,0
29,technician,single,tertiary,no,-97,yes,no,cellular,6,may,622,2,330,13,failure,1
41,technician,single,secondary,no,2346,yes,no,cellular,11,may,611,1,347,1,failure,1
31,self-employed,married,tertiary,no,658,no,no,cellular,13,aug,298,2,112,3,failure,1
59,management,married,tertiary,no,5296,no,no,cellular,17,nov,479,1,-1,0,unknown,0
48,entrepreneur,married,tertiary,no,18931,no,no,cellular,10,aug,253,3,98,2,success,1
32,blue-collar,married,primary,no,38,yes,no,cellular,13,may,75,1,-1,0,unknown,0
59,management,married,tertiary,no,1730,yes,no,telephone,17,nov,442,1,-1,0,unknown,0
58,management,married,tertiary,no,1297,no,yes,unknown,6,jun,12,1,-1,0,unknown,0
60,management,married,tertiary,no,1674,no,no,cellular,10,jul,89,1,-1,0,unknown,0
75,retired,married,primary,no,495,no,no,cellular,9,sep,229,1,92,1,success,1
44,services,divorced,secondary,no,-179,yes,no,cellular,15,may,333,2,-1,0,unknown,0
33,management,married,tertiary,no,-733,yes,no,cellular,22,jul,113,1,-1,0,unknown,0
30,management,single,tertiary,no,1682,no,no,cellular,23,mar,112,1,106,2,failure,1
43,technician,married,secondary,no,1072,yes,no,cellular,31,jul,119,2,-1,0,unknown,0
34,self-employed,single,secondary,no,1004,no,no,cellular,20,nov,144,1,-1,0,unknown,0
45,management,divorced,tertiary,no,-401,yes,no,cellular,19,aug,129,2,-1,0,unknown,0
34,technician,married,unknown,no,486,yes,no,unknown,2,jun,142,1,-1,0,unknown,0
44,unemployed,single,secondary,no,3232,no,no,telephone,13,nov,515,2,-1,0,unknown,1
38,blue-collar,married,secondary,no,4608,yes,no,unknown,8,may,123,1,-1,0,unknown,0
51,management,married,tertiary,no,2656,yes,no,unknown,15,may,103,1,-1,0,unknown,0
58,admin.,single,secondary,no,5,yes,no,unknown,13,may,113,1,-1,0,unknown,0
27,technician,single,secondary,no,476,yes,no,cellular,25,jul,97,1,-1,0,unknown,0
31,management,married,tertiary,no,934,yes,no,cellular,18,aug,72,3,-1,0,unknown,0
55,admin.,divorced,secondary,no,-180,no,yes,cellular,1,jul,957,2,-1,0,unknown,1
59,retired,married,secondary,no,0,no,no,cellular,19,aug,39,2,-1,0,unknown,0
34,admin.,married,secondary,no,603,yes,no,cellular,22,jul,151,3,-1,0,unknown,0
36,admin.,married,secondary,no,5,yes,no,telephone,28,jul,125,5,-1,0,unknown,0
32,admin.,single,tertiary,no,15,yes,no,cellular,24,feb,95,1,91,1,success,0
46,management,married,tertiary,no,5021,no,no,telephone,3,jul,653,1,-1,0,unknown,0
43,self-employed,married,secondary,no,1691,no,no,unknown,15,may,87,1,-1,0,unknown,0
32,management,single,tertiary,no,36,no,no,cellular,19,aug,478,2,-1,0,unknown,0
32,management,single,tertiary,no,0,no,no,cellular,19,aug,50,5,-1,0,unknown,0
54,technician,single,secondary,no,1063,yes,no,unknown,21,may,479,1,-1,0,unknown,0
33,management,single,tertiary,no,0,no,no,cellular,27,aug,126,4,-1,0,unknown,0
44,self-employed,married,secondary,no,594,no,no,cellular,8,aug,102,1,-1,0,unknown,0
39,blue-collar,married,secondary,no,1785,no,no,cellular,3,feb,150,1,-1,0,unknown,0
31,management,single,tertiary,no,775,no,no,cellular,4,feb,8,5,-1,0,unknown,0
27,management,single,secondary,no,3432,no,yes,cellular,22,jul,102,2,-1,0,unknown,0
53,management,married,tertiary,no,1777,yes,no,cellular,21,nov,83,3,-1,0,unknown,0
45,blue-collar,married,unknown,no,753,no,no,cellular,31,jul,11,11,-1,0,unknown,0
41,blue-collar,married,secondary,no,934,yes,no,unknown,14,may,166,2,-1,0,unknown,0
35,blue-collar,single,secondary,no,644,yes,no,cellular,18,may,43,2,-1,0,unknown,0
36,technician,single,secondary,no,431,no,no,cellular,25,oct,173,3,185,3,success,1
50,services,divorced,secondary,no,0,yes,no,unknown,20,jun,179,2,-1,0,unknown,0
45,technician,married,secondary,no,1731,yes,no,unknown,29,may,486,2,-1,0,unknown,0
28,admin.,single,secondary,yes,-625,yes,no,unknown,18,jun,105,3,-1,0,unknown,0
28,technician,single,tertiary,no,961,no,no,unknown,23,may,298,1,-1,0,unknown,0
59,retired,married,tertiary,no,643,no,no,cellular,5,aug,128,1,-1,0,unknown,0
27,housemaid,married,primary,no,0,yes,no,cellular,22,jul,106,2,-1,0,unknown,0
44,blue-collar,married,unknown,no,728,no,no,unknown,12,jun,139,1,-1,0,unknown,0
39,services,married,secondary,no,-114,yes,no,unknown,21,may,369,2,-1,0,unknown,0
47,admin.,married,secondary,no,757,no,no,cellular,11,jul,84,2,-1,0,unknown,0
33,technician,single,tertiary,no,11219,no,no,cellular,18,nov,84,1,-1,0,unknown,0
60,management,married,tertiary,no,469,yes,no,unknown,5,jun,89,4,-1,0,unknown,0
27,management,single,tertiary,no,1047,no,no,cellular,9,sep,595,1,184,2,success,1
38,blue-collar,divorced,secondary,no,1227,no,no,cellular,10,dec,567,4,182,1,failure,1
44,management,married,tertiary,no,0,yes,no,cellular,3,feb,406,1,182,13,other,1
